Similarity_Score,skill_match_ratio,resume_length,years_of_experience,Label
0.6398,0.18181818181818182,219,0,1
0.6398,0.18181818181818182,219,0,1
0.6398,0.18181818181818182,219,0,1
0.6398,0.18181818181818182,219,0,1
0.6398,0.18181818181818182,219,0,1
0.6398,0.18181818181818182,219,0,1
0.6275,0.12121212121212122,885,0,1
0.6203,0.16666666666666666,490,0,1
0.6203,0.16666666666666666,490,0,1
0.6203,0.16666666666666666,490,0,1
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6203,0.16666666666666666,490,0,0
0.6186,0.15151515151515152,143,0,0
0.6186,0.15151515151515152,143,0,0
0.6186,0.15151515151515152,143,0,0
0.6186,0.15151515151515152,143,0,0
0.6186,0.15151515151515152,143,0,0
0.6186,0.15151515151515152,143,0,0
0.618,0.15151515151515152,173,0,0
0.618,0.15151515151515152,173,0,0
0.618,0.15151515151515152,173,0,0
0.618,0.15151515151515152,173,0,0
0.618,0.15151515151515152,173,0,0
0.618,0.15151515151515152,173,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6179,0.07575757575757576,120,0,0
0.6167,0.09090909090909091,106,0,0
0.6167,0.09090909090909091,106,0,0
0.6167,0.09090909090909091,106,0,0
0.6167,0.09090909090909091,106,0,0
0.6167,0.09090909090909091,106,0,0
0.6167,0.09090909090909091,106,0,0
0.6148,0.12121212121212122,345,0,0
0.6148,0.12121212121212122,345,0,0
0.6148,0.12121212121212122,345,0,0
0.5989,0.15151515151515152,180,0,0
0.5989,0.15151515151515152,180,0,0
0.5989,0.15151515151515152,180,0,0
0.5989,0.15151515151515152,180,0,0
0.5989,0.15151515151515152,180,0,0
0.5989,0.15151515151515152,180,0,0
0.5869,0.07575757575757576,115,0,0
0.5869,0.07575757575757576,115,0,0
0.5869,0.07575757575757576,115,0,0
0.5869,0.07575757575757576,115,0,0
0.5795,0.07575757575757576,62,0,0
0.5795,0.07575757575757576,62,0,0
0.5795,0.07575757575757576,62,0,0
0.5795,0.07575757575757576,62,0,0
0.5795,0.07575757575757576,62,0,0
0.5795,0.07575757575757576,62,0,0
